"","Species","lon","lat","Presence"
"227","Araucaria_angustifolia",-49.864977,-28.197363,1
"228","Araucaria_angustifolia",-49.66965,-28.17892,1
"229","Araucaria_angustifolia",-49.935266,-27.952589,1
"230","Araucaria_angustifolia",-49.932174,-27.921074,1
"231","Araucaria_angustifolia",-49.28643,-27.37968,1
"232","Araucaria_angustifolia",-49.27344,-27.35562,1
"233","Araucaria_angustifolia",-49.28835,-27.37754,1
"234","Araucaria_angustifolia",-49.27767,-27.38451,1
"235","Araucaria_angustifolia",-49.27887,-27.38657,1
"236","Araucaria_angustifolia",-49.28374,-27.38474,1
"237","Araucaria_angustifolia",-49.35837,-28.01104,1
"238","Araucaria_angustifolia",-49.38915,-28.04239,1
"239","Araucaria_angustifolia",-49.41075,-27.57692,1
"240","Araucaria_angustifolia",-49.986594,-27.921392,1
"241","Araucaria_angustifolia",-50.2609,-28.11889,1
"242","Araucaria_angustifolia",-50.26646,-28.12881,1
"243","Araucaria_angustifolia",-50.21264,-28.13401,1
"244","Araucaria_angustifolia",-50.5886,-27.82885,1
"245","Araucaria_angustifolia",-50.55966,-27.78782,1
"246","Araucaria_angustifolia",-50.043168,-27.784397,1
"247","Araucaria_angustifolia",-50.06776,-27.73098,1
"248","Araucaria_angustifolia",-50.53781,-27.83484,1
"249","Araucaria_angustifolia",-50.53272,-27.83392,1
"251","Araucaria_angustifolia",-50.041334,-27.744022,1
"252","Araucaria_angustifolia",-52.36268,-26.39907,1
"253","Araucaria_angustifolia",-52.252041,-26.456564,1
"254","Araucaria_angustifolia",-52.05913,-26.483673,1
"255","Araucaria_angustifolia",-50.24818,-27.78141,1
"256","Araucaria_angustifolia",-50.06924,-27.72948,1
"257","Araucaria_angustifolia",-50.02006,-27.73733,1
"258","Araucaria_angustifolia",-50.02285,-27.43492,1
"259","Araucaria_angustifolia",-49.53722,-27.44433,1
"260","Araucaria_angustifolia",-50.324,-27.50289,1
"261","Araucaria_angustifolia",-50.32093,-27.5012,1
"262","Araucaria_angustifolia",-49.53545,-27.4338,1
"263","Araucaria_angustifolia",-49.53428,-27.44542,1
"264","Araucaria_angustifolia",-50.34625,-29.50107,1
"265","Araucaria_angustifolia",-50.37092,-29.47235,1
"266","Araucaria_angustifolia",-49.87515,-27.95456,1
"267","Araucaria_angustifolia",-49.937843,-27.8925,1
"268","Araucaria_angustifolia",-49.89768,-27.89012,1
"269","Araucaria_angustifolia",-49.98636,-27.88154,1
"270","Araucaria_angustifolia",-50.55036,-27.84093,1
"271","Araucaria_angustifolia",-49.95931,-28.010564,1
"272","Araucaria_angustifolia",-49.99605,-28.070176,1
"273","Araucaria_angustifolia",-49.92783,-27.89202,1
"274","Araucaria_angustifolia",-51.7706,-25.95057,1
"276","Araucaria_angustifolia",-49.87744,-27.95473,1
"277","Araucaria_angustifolia",-49.93977,-27.92812,1
"278","Araucaria_angustifolia",-49.91698,-27.90365,1
"279","Araucaria_angustifolia",-49.9089,-27.90465,1
"280","Araucaria_angustifolia",-49.95851,-27.95796,1
